"ID_Number";"Staff_Group";"Role";"Last_access";"Course_Title";"Enrolment_Date";"Completed";"Completion_Date"
93041;"Nursing and Midwifery Registered";"Staff Nurse";"2026-02-28";"Anaphylaxis v4.0";"2025-05-19";"Yes";"2025-05-19"
19667;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-01-29";"Anaphylaxis v4.0";"2026-01-29";"Yes";"2026-01-29"
15156;"Nursing and Midwifery Registered";"Sister or Charge Nurse";"2026-04-15";"Anaphylaxis v4.0";"2025-03-26";"No";""
68325;"Nursing and Midwifery Registered";"Staff Nurse";"2026-02-20";"Anaphylaxis v4.0";"2025-08-26";"No";""
78456;"Additional Clinical Services";"Health Care Support Worker";"2026-04-10";"Anaphylaxis v4.0";"2026-02-05";"No";""
95151;"Nursing and Midwifery Registered";"Staff Nurse";"2026-02-16";"Anaphylaxis v4.0";"2025-11-06";"Yes";"2025-11-07"
71199;"Additional Clinical Services";"Healthcare Assistant";"2025-08-11";"Anaphylaxis v4.0";"2025-04-08";"Yes";"2025-04-08"
232;"Nursing and Midwifery Registered";"Nurse Manager";"2026-02-23";"Anaphylaxis v4.0";"2025-07-02";"Yes";"2025-07-02"
32692;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-02";"Anaphylaxis v4.0";"2025-10-23";"Yes";"2025-12-11"
243;"Nursing and Midwifery Registered";"Midwife";"2026-02-13";"Anaphylaxis v4.0";"2025-09-30";"Yes";"2025-09-30"
76838;"Additional Clinical Services";"Health Care Support Worker";"2026-02-24";"Anaphylaxis v4.0";"2025-12-15";"Yes";"2025-12-15"
47117;"Nursing and Midwifery Registered";"Staff Nurse";"2025-10-22";"Anaphylaxis v4.0";"2025-10-22";"Yes";"2025-10-22"
89336;"Nursing and Midwifery Registered";"Staff Nurse";"2025-10-29";"Anaphylaxis v4.0";"2025-10-23";"Yes";"2025-10-24"
95039;"Nursing and Midwifery Registered";"Midwife";"2026-04-09";"Anaphylaxis v4.0";"2025-10-29";"Yes";"2025-10-29"
62513;"Nursing and Midwifery Registered";"Staff Nurse";"2026-01-18";"Anaphylaxis v4.0";"2025-07-15";"Yes";"2025-07-21"
254;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-24";"Anaphylaxis v4.0";"2025-09-15";"Yes";"2025-09-15"
93682;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-23";"Anaphylaxis v4.0";"2025-11-15";"Yes";"2025-11-17"
258;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-15";"Anaphylaxis v4.0";"2026-03-23";"No";""
47134;"Add Prof Scientific and Technic";"Anaesthesia Associate";"2026-03-26";"Anaphylaxis v4.0";"2025-06-09";"Yes";"2025-06-09"
92831;"Nursing and Midwifery Registered";"Staff Nurse";"2025-12-12";"Anaphylaxis v4.0";"2025-04-29";"Yes";"2025-04-29"
93572;"Medical and Dental";"Foundation Year 1";"2025-09-12";"Anaphylaxis v4.0";"2025-07-23";"No";""
47136;"Nursing and Midwifery Registered";"Staff Nurse";"2025-12-16";"Anaphylaxis v4.0";"2025-07-15";"Yes";"2025-10-21"
47139;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-11";"Anaphylaxis v4.0";"2025-09-05";"No";""
69068;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-05";"Anaphylaxis v4.0";"2025-07-17";"Yes";"2026-01-11"
25139;"Nursing and Midwifery Registered";"Staff Nurse";"2026-02-09";"Anaphylaxis v4.0";"2025-05-07";"No";""
86446;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-11";"Anaphylaxis v4.0";"2025-05-06";"Yes";"2025-05-06"
